valid_time,latitude,longitude,Total Precipitation (mm),Evaporation (mm),Surface Runoff (mm),Mean Wave Direction (°),10m U-Component of Wind (m/s),10m V-Component of Wind (m/s),2m Temperature,Mean Sea Level (°C),Sea Surface Temperature (°C),Soil Temperature Level 1 (°C),Soil Type,Soil Water Volume Level 1 (m³/m³),number,Experiment Version,Flood_Occurred
2019-06-01,17.25,87.0,0.00954,-0.0001191495,0.0,191.5300155757932,2.161026,3.11364745,302.746215,100483.03,303.2378,303.238405,0.0,7.800000000000002e-07,0,1,0
2019-06-01,17.5,80.0,0.0954,-5.898e-05,0.00023799999999999998,191.5300155757932,-0.12413025,0.35339354999999995,306.614375,100304.22,302.9279268276109,309.385865,3.0,0.140442675,0,1,0
2019-06-01,17.5,80.25,0.0963,-5.61645e-05,0.00023799999999999998,191.5300155757932,-0.557724,0.6204834000000001,306.468875,100316.72,302.9279268276109,309.17492500000003,3.0,0.148751085,0,1,0
2019-06-01,17.5,80.5,0.0229,-4.9029999999999996e-05,0.0,191.5300155757932,-0.611923215,0.7991942999999999,306.33703,100335.72,302.9279268276109,308.967895,3.0,0.187851735,0,1,0
2019-06-01,17.5,80.75,0.0196,-5.5344e-05,0.0,191.5300155757932,0.20594789999999996,0.9613037,306.735475,100332.53,302.9279268276109,309.34387000000004,3.0,0.18840868,0,1,0
2019-06-01,17.5,81.0,0.0172,-6.969100000000001e-05,0.0,191.5300155757932,0.3426666500000001,1.0863037,306.547,100298.28,302.9279268276109,308.996215,4.0,0.25296098,0,1,0
2019-06-01,17.5,81.25,0.0023870000000000002,-6.9693e-05,0.0,191.5300155757932,-0.14366148499999992,1.06091307,306.4298,100301.78,302.9279268276109,308.64856499999996,4.0,0.252022565,0,1,0
2019-06-01,17.5,81.5,0.0,-5.1665e-05,0.0,191.5300155757932,-0.038681050000000106,0.7098388250000001,305.46984999999995,100373.47,302.9279268276109,307.28528500000004,3.0,0.173340625,0,1,0
2019-06-01,17.5,81.75,0.00906,-5.71305e-05,0.0,191.5300155757932,-0.13926700000000003,0.5657958999999999,304.896605,100400.28,302.9279268276109,306.42102,3.0,0.17944414,0,1,0
2019-06-01,17.5,82.0,0.00906,-5.30455e-05,0.0,191.5300155757932,-0.323349,0.5960693335,304.98938,100415.53,302.9279268276109,306.22278500000004,3.0,0.17380602,0,1,0
2019-06-01,17.5,82.25,0.00286,-5.199e-05,0.0,191.5300155757932,-0.49327088499999994,1.26403805,304.27453,100408.03,302.9279268276109,306.06653500000004,3.0,0.13742143499999998,0,1,0
2019-06-01,17.5,82.5,0.0,-5.0355e-05,0.0,191.5300155757932,-0.332626335,2.13171385,303.62122,100364.53,302.9279268276109,306.425905,3.0,0.117264575,0,1,0
2019-06-01,17.5,82.75,0.0129,-3.8e-05,0.0,191.5300155757932,0.261611935,3.0032958,303.58606,100338.97,302.9279268276109,305.88782000000003,3.0,0.099968739,0,1,0
2019-06-01,17.5,83.0,0.0138,-6.91e-05,0.0,191.5300155757932,0.75086977,4.14245615,303.37903,100316.22,302.9279268276109,305.224735,1.0,0.03830797,0,1,0
2019-06-01,17.5,83.25,0.011899999999999999,-6.434999999999999e-05,0.0,191.5300155757932,1.1063385159999999,5.4251708999999995,302.20813,100325.78,302.1919,302.192505,0.0,7.800000000000002e-07,0,1,0
2019-06-01,17.5,83.5,0.0172,-0.0001005,0.0,178.345475,1.59803772,5.9837647,302.51477,100326.78,302.79932,302.79895,0.0,7.800000000000002e-07,0,1,0
